Concurso,Data do Sorteio,Coluna1,Coluna2,Coluna3,Coluna4,Coluna5,Coluna6,Ganhadores Faixa 1,Ganhadores Faixa 2,Ganhadores Faixa 3,Acumulado,Sorteio Especial
363,2002-05-22,19,29,39,47,49,54,0,27,2225,true,false
364,2002-05-25,5,29,44,51,57,59,1,76,3315,false,false
365,2002-05-29,19,23,34,37,52,58,1,45,2433,false,false
366,2002-06-01,4,6,7,15,21,51,0,41,3489,true,false
367,2002-06-05,10,12,27,33,49,52,1,71,3040,false,false
368,2002-06-08,13,29,32,38,44,50,0,53,3220,true,false
369,2002-06-12,1,14,21,35,42,60,1,46,4167,false,false
370,2002-06-15,1,4,40,42,51,54,0,40,3230,true,false
371,2002-06-19,4,18,23,33,39,60,0,47,3979,true,false
372,2002-06-22,16,17,24,39,46,57,2,85,6743,false,false
373,2002-06-26,1,5,10,24,31,33,0,52,3292,true,false
374,2002-06-29,2,5,16,26,44,54,0,80,3326,true,false
375,2002-07-03,1,5,9,42,51,58,0,33,2359,true,false
376,2002-07-06,10,13,25,35,43,48,0,110,6956,true,false
377,2002-07-10,3,12,19,27,45,46,0,87,5468,true,false
378,2002-07-13,5,38,41,45,48,55,0,36,3115,true,false
379,2002-07-17,24,33,40,41,55,59,0,32,2830,true,false
380,2002-07-20,13,22,30,31,47,57,0,206,7186,true,false
381,2002-07-24,9,10,28,46,55,56,0,85,7295,true,false
382,2002-07-27,31,34,37,38,53,54,0,68,6291,true,false
383,2002-07-31,14,22,48,50,53,56,0,73,6573,true,false
384,2002-08-03,24,28,40,47,50,52,0,151,10644,true,false
385,2002-08-07,5,12,16,18,22,24,2,759,37449,false,false
386,2002-08-10,17,35,36,39,43,54,0,70,5236,true,false
387,2002-08-14,22,28,29,43,47,48,0,40,2998,true,false
388,2002-08-17,23,36,48,52,53,58,0,46,4293,true,false
389,2002-08-21,5,14,18,43,46,54,0,63,4169,true,false
390,2002-08-24,7,12,22,34,38,53,1,171,10722,false,false
391,2002-08-28,4,7,15,16,35,40,0,44,2740,true,false
392,2002-08-31,15,23,31,39,47,49,1,68,3591,false,false
393,2002-09-04,6,12,35,36,40,50,0,31,1949,true,false
394,2002-09-07,5,15,35,42,45,49,0,47,4815,true,false
395,2002-09-11,10,11,14,20,31,58,1,27,2328,false,false
396,2002-09-14,6,18,34,42,45,47,0,63,4201,true,false
397,2002-09-18,1,2,5,24,32,46,0,61,4026,true,false
398,2002-09-21,7,16,22,28,36,37,1,63,5106,false,false
399,2002-09-25,11,16,27,47,55,59,0,20,1730,true,false
400,2002-09-28,10,13,28,29,54,59,0,75,4875,true,false
401,2002-10-02,11,18,43,44,50,53,0,33,2853,true,false
402,2002-10-05,5,16,27,43,56,58,0,146,7787,true,false
403,2002-10-09,7,16,27,31,46,60,0,48,4099,true,false
404,2002-10-12,1,24,28,38,40,58,0,66,4364,true,false
405,2002-10-16,24,29,34,47,57,60,0,67,4579,true,false
406,2002-10-19,2,12,32,38,47,48,0,78,6557,true,false
407,2002-10-23,2,18,22,49,51,57,0,90,6383,true,false
408,2002-10-26,14,28,33,44,49,56,1,269,13970,false,false
409,2002-10-30,18,25,26,31,34,49,0,23,1958,true,false
410,2002-11-02,8,24,31,36,38,55,0,101,5799,true,false
411,2002-11-06,10,12,31,38,45,56,0,91,5115,true,false
412,2002-11-09,5,12,14,21,45,59,0,89,8542,true,false
413,2002-11-13,2,4,29,33,35,53,0,102,7746,true,false
414,2002-11-16,16,26,35,45,52,58,1,51,5527,false,false
415,2002-11-20,1,4,27,38,42,44,0,40,2415,true,false
416,2002-11-23,1,13,23,33,54,56,0,44,4032,true,false
417,2002-11-27,7,12,21,25,34,42,0,78,5218,true,false
